timestamp,USDJPY,EURUSD
1697181032.3581295,149.676,1.05359
1697181092.3722456,149.664,1.0538
1697181152.3736982,149.658,1.05397
1697181212.380357,149.665,1.05403
1697181272.3813858,149.664,1.05416
1697181332.3896434,149.656,1.05407
1697181392.401885,149.666,1.05417
1697181452.4122336,149.657,1.05397
1697181512.424647,149.655,1.05387
1697181572.4320982,149.658,1.05386
1697181632.4334068,149.667,1.05377
1697181692.4467056,149.668,1.05392
1697181752.4516132,149.678,1.05382
1697181812.4671106,149.678,1.05386
1697181872.469103,149.68,1.05402
1697181932.4840972,149.678,1.05415
1697181992.485617,149.689,1.05445
1697182052.4913683,149.679,1.05466
1697182112.5047958,149.678,1.05477
1697182172.5106738,149.682,1.05478
1697182232.5175776,149.682,1.05478
1697182292.5206847,149.698,1.05489
1697182352.5305762,149.703,1.05482
1697182412.540018,149.7,1.05476
1697182472.5555148,149.699,1.05475
1697182532.5627835,149.691,1.05477
1697182592.578133,149.691,1.0547
1697182652.5806515,0.0,0.0
1697182712.581238,0.0,0.0
1697182772.5879169,0.0,0.0
1697182832.6025796,0.0,0.0
1697182892.606089,0.0,0.0
1697182952.6114156,0.0,0.0
1697183012.615165,0.0,0.0
1697183072.6304104,0.0,0.0
1697183132.6369047,0.0,0.0
1697183192.647347,0.0,0.0
1697183252.6626625,0.0,0.0
1697183312.666065,0.0,0.0
1697183372.6725345,0.0,0.0
1697183432.6768067,0.0,0.0
1697183492.6795404,0.0,0.0
1697183552.6809487,0.0,0.0
1697183612.692793,0.0,0.0
1697183672.70049,0.0,0.0
1697183732.7046642,0.0,0.0
1697183792.7084465,0.0,0.0
1697183852.7249544,0.0,0.0
1697183912.7278883,0.0,0.0
1697183972.7305264,0.0,0.0
1697184032.736833,0.0,0.0
1697184092.7512999,0.0,0.0
1697184152.7605944,0.0,0.0
1697184212.7750292,0.0,0.0
1697184272.783399,0.0,0.0
1697184332.7982628,0.0,0.0
1697184392.8124168,0.0,0.0
1697184452.8279266,0.0,0.0
1697184512.8425734,0.0,0.0
1697184572.858177,0.0,0.0
1697184632.858603,0.0,0.0
1697184692.8600984,0.0,0.0
1697184752.863947,0.0,0.0
1697184812.8742032,0.0,0.0
1697184872.875309,0.0,0.0
1697184932.880191,0.0,0.0
1697184992.892117,0.0,0.0
1697185052.8981133,0.0,0.0
1697185112.9000645,0.0,0.0
1697185172.9073195,0.0,0.0
1697185232.921853,0.0,0.0
1697185292.9368372,0.0,0.0
1697185352.944232,0.0,0.0
1697185412.9525185,0.0,0.0
1697185472.9590902,0.0,0.0
1697185532.966507,0.0,0.0
1697185592.9747086,0.0,0.0
1697185652.9781268,0.0,0.0
1697185712.9808376,0.0,0.0
1697185772.9820623,0.0,0.0
1697185832.9960291,0.0,0.0
1697185893.0033467,0.0,0.0
